83,		36,		51,		48,		85,		38,		21,		46,		87,		90,		179,	132,	147,	144,	181,	134,	117,	142,	183,	186,	
50,		53,		84,		37,		20,		47,		86,		89,		70,		45,		146,	149,	180,	133,	116,	143,	182,	185,	166,	141,	
35,		82,		49,		52,		39,		8,		17,		22,		91,		88,		131,	178,	145,	148,	135,	104,	113,	118,	187,	184,	
54,		57,		34,		9,		24,		19,		40,		69,		44,		71,		150,	153,	130,	105,	120,	115,	136,	165,	140,	167,	
81,		12,		55,		26,		7,		16,		23,		18,		41,		92,		177,	108,	151,	122,	103,	112,	119,	114,	137,	188,	
56,		33,		58,		13,		10,		25,		68,		63,		72,		43,		152,	129,	154,	109,	106,	121,	164,	159,	168,	139,	
59,		80,		11,		6,		27,		62,		15,		42,		93,		74,		155,	176,	107,	102,	123,	158,	111,	138,	189,	170,	
32,		5,		30,		61,		14,		67,		64,		73,		96,		99,		128,	101,	126,	157,	110,	163,	160,	169,	192,	195,	
79,		60,		3,		66,		77,		28,		1,		98,		75,		94,		175,	156,	199,	162,	173,	124,	197,	194,	171,	190,	
4,		31,		78,		29,		2,		65,		76,		95,		0,		97,		100,	127,	174,	125,	198,	161,	172,	191,	196,	193,	
361,	308,	393,	396,	359,	306,	323,	398,	357,	354,	247,	200,	215,	212,	249,	202,	285,	210,	251,	254,	
394,	391,	360,	307,	324,	397,	358,	355,	374,	399,	214,	217,	248,	201,	284,	211,	250,	253,	234,	209,	
309,	362,	395,	392,	305,	336,	327,	322,	353,	356,	299,	246,	213,	216,	203,	272,	281,	286,	255,	252,	
390,	387,	310,	335,	320,	325,	304,	375,	300,	373,	218,	221,	298,	273,	288,	283,	204,	233,	208,	235,	
363,	332,	389,	318,	337,	328,	321,	326,	303,	352,	245,	276,	219,	290,	271,	280,	287,	282,	205,	256,	
388,	311,	386,	331,	334,	319,	376,	381,	372,	301,	220,	297,	222,	277,	274,	289,	232,	227,	236,	207,	
385,	364,	333,	338,	317,	382,	329,	302,	351,	370,	223,	244,	275,	270,	291,	226,	279,	206,	257,	238,	
312,	339,	314,	383,	330,	377,	380,	371,	348,	345,	296,	269,	294,	225,	278,	231,	228,	237,	260,	263,	
365,	384,	341,	378,	367,	316,	343,	346,	369,	350,	243,	224,	267,	230,	241,	292,	265,	262,	239,	258,	
340,	313,	366,	315,	342,	379,	368,	349,	344,	347,	268,	295,	242,	293,	266,	229,	240,	259,	264,	261,	
