123,	108,	111,	130,	121,	102,	57,		66,		87,		96,		77,		70,		85,		94,		259,	250,	277,	268,	287,	246,	279,	270,	335,	326,	305,	296,	315,	322,	307,	298,	
110,	129,	122,	101,	112,	131,	88,		97,		58,		67,		86,		95,		78,		69,		276,	267,	258,	249,	278,	269,	286,	247,	304,	295,	334,	325,	306,	297,	314,	323,	
107,	124,	109,	132,	103,	120,	65,		56,		89,		76,		71,		68,		93,		84,		251,	260,	275,	288,	245,	248,	271,	280,	327,	336,	303,	316,	321,	324,	299,	308,	
128,	117,	126,	113,	100,	133,	98,		59,		52,		55,		62,		81,		74,		79,		266,	257,	264,	261,	254,	283,	290,	285,	294,	333,	292,	337,	330,	311,	318,	313,	
125,	106,	115,	134,	119,	104,	53,		64,		61,		90,		75,		72,		83,		92,		263,	252,	255,	274,	289,	244,	281,	272,	291,	328,	331,	302,	317,	320,	309,	300,	
116,	127,	118,	105,	114,	99,		60,		51,		54,		63,		82,		91,		80,		73,		256,	265,	262,	253,	282,	273,	284,	243,	332,	293,	338,	329,	310,	301,	312,	319,	
179,	148,	171,	138,	135,	176,	9,		14,		191,	50,		27,		38,		193,	48,		213,	218,	199,	414,	231,	242,	201,	412,	397,	402,	383,	374,	351,	362,	385,	372,	
170,	139,	180,	177,	172,	137,	190,	183,	10,		15,		192,	49,		36,		39,		198,	415,	214,	219,	200,	413,	240,	403,	382,	375,	398,	339,	384,	373,	360,	363,	
149,	178,	147,	136,	175,	182,	11,		8,		13,		28,		37,		26,		47,		194,	215,	212,	217,	232,	241,	230,	411,	202,	399,	396,	401,	352,	361,	350,	371,	386,	
140,	169,	160,	181,	146,	173,	184,	189,	18,		25,		16,		23,		40,		35,		416,	197,	222,	229,	220,	227,	404,	239,	376,	381,	342,	349,	340,	347,	364,	359,	
159,	150,	165,	174,	161,	154,	7,		12,		185,	22,		29,		34,		195,	46,		211,	216,	417,	226,	233,	238,	203,	410,	395,	400,	377,	346,	353,	358,	387,	370,	
166,	141,	168,	155,	164,	145,	188,	19,		30,		17,		24,		43,		2,		41,		196,	223,	234,	221,	228,	407,	206,	405,	380,	343,	354,	341,	348,	367,	390,	365,	
151,	158,	143,	162,	153,	156,	31,		6,		21,		186,	33,		4,		45,		0,		235,	210,	225,	418,	237,	208,	409,	204,	355,	394,	345,	378,	357,	392,	369,	388,	
142,	167,	152,	157,	144,	163,	20,		187,	32,		5,		44,		1,		42,		3,		224,	419,	236,	209,	408,	205,	406,	207,	344,	379,	356,	393,	368,	389,	366,	391,	
725,	742,	717,	732,	729,	722,	687,	692,	897,	888,	705,	876,	899,	886,	653,	648,	667,	420,	635,	624,	665,	422,	435,	430,	449,	458,	481,	470,	447,	460,	
716,	733,	726,	723,	718,	731,	896,	889,	688,	693,	898,	887,	874,	877,	668,	675,	652,	647,	666,	421,	626,	623,	450,	457,	434,	429,	448,	459,	472,	469,	
743,	724,	741,	730,	721,	728,	689,	686,	691,	706,	875,	704,	885,	676,	651,	654,	649,	634,	625,	636,	423,	664,	433,	436,	431,	480,	471,	482,	461,	446,	
734,	715,	754,	727,	740,	719,	890,	895,	696,	703,	694,	701,	878,	873,	674,	669,	644,	637,	646,	639,	622,	627,	456,	451,	426,	483,	428,	485,	468,	473,	
753,	744,	711,	720,	755,	748,	685,	690,	891,	700,	707,	872,	677,	884,	655,	650,	673,	640,	633,	628,	663,	424,	437,	432,	455,	486,	479,	474,	445,	462,	
712,	735,	714,	749,	710,	739,	894,	697,	708,	695,	702,	881,	680,	879,	670,	643,	632,	645,	638,	619,	660,	621,	452,	425,	478,	427,	484,	465,	442,	467,	
745,	752,	737,	756,	747,	750,	709,	684,	699,	892,	871,	682,	883,	678,	631,	656,	641,	672,	629,	658,	617,	662,	477,	438,	487,	454,	475,	440,	463,	444,	
736,	713,	746,	751,	738,	757,	698,	893,	870,	683,	882,	679,	880,	681,	642,	671,	630,	657,	618,	661,	620,	659,	488,	453,	476,	439,	464,	443,	466,	441,	
799,	768,	791,	758,	803,	796,	811,	806,	825,	834,	857,	846,	823,	836,	591,	586,	605,	614,	573,	562,	603,	616,	503,	508,	489,	544,	521,	532,	491,	542,	
790,	759,	800,	797,	792,	805,	826,	833,	810,	869,	824,	835,	848,	845,	606,	613,	590,	585,	604,	615,	564,	561,	552,	545,	504,	509,	490,	543,	530,	533,	
769,	798,	767,	804,	795,	802,	809,	812,	807,	856,	847,	858,	837,	822,	589,	592,	587,	572,	563,	574,	553,	602,	505,	502,	507,	522,	531,	520,	541,	492,	
760,	789,	780,	801,	766,	793,	832,	827,	866,	859,	868,	861,	844,	849,	612,	607,	582,	575,	584,	577,	560,	565,	546,	551,	512,	519,	510,	517,	534,	529,	
779,	770,	785,	794,	781,	774,	813,	808,	831,	862,	855,	850,	821,	838,	593,	588,	611,	578,	571,	566,	601,	554,	501,	506,	547,	516,	523,	528,	493,	540,	
786,	761,	788,	775,	784,	765,	828,	865,	854,	867,	860,	841,	818,	843,	608,	581,	570,	583,	576,	557,	598,	559,	550,	513,	524,	511,	518,	537,	496,	535,	
771,	778,	763,	782,	773,	776,	853,	814,	863,	830,	851,	816,	839,	820,	569,	594,	579,	610,	567,	596,	555,	600,	525,	500,	515,	548,	527,	498,	539,	494,	
762,	787,	772,	777,	764,	783,	864,	829,	852,	815,	840,	819,	842,	817,	580,	609,	568,	595,	556,	599,	558,	597,	514,	549,	526,	499,	538,	495,	536,	497,	
