71,		86,		83,		64,		73,		92,		43,		58,		55,		36,		45,		28,		241,	256,	253,	234,	243,	262,	213,	228,	225,	206,	215,	198,	
84,		65,		72,		93,		82,		63,		56,		37,		44,		29,		54,		35,		254,	235,	242,	263,	252,	233,	226,	207,	214,	199,	224,	205,	
87,		70,		85,		62,		91,		74,		59,		42,		57,		34,		27,		46,		257,	240,	255,	232,	261,	244,	229,	212,	227,	204,	197,	216,	
66,		77,		68,		81,		94,		61,		38,		49,		40,		53,		30,		33,		236,	247,	238,	251,	264,	231,	208,	219,	210,	223,	200,	203,	
69,		88,		79,		96,		75,		90,		41,		60,		51,		32,		47,		26,		239,	258,	249,	266,	245,	260,	211,	230,	221,	202,	217,	196,	
78,		67,		76,		89,		80,		95,		50,		39,		48,		25,		52,		31,		248,	237,	246,	259,	250,	265,	220,	209,	218,	195,	222,	201,	
99,		120,	123,	106,	97,		114,	133,	10,		13,		140,	23,		4,		269,	146,	149,	276,	267,	284,	159,	180,	183,	166,	193,	174,	
122,	105,	98,		113,	124,	107,	12,		139,	24,		3,		14,		141,	148,	275,	268,	283,	150,	277,	182,	165,	194,	173,	184,	167,	
119,	100,	121,	108,	115,	132,	9,		134,	11,		142,	5,		22,		145,	270,	147,	278,	285,	158,	179,	160,	181,	168,	175,	192,	
104,	129,	102,	125,	112,	109,	138,	19,		136,	15,		2,		143,	274,	155,	272,	151,	282,	279,	164,	189,	162,	185,	172,	169,	
101,	118,	127,	110,	131,	116,	135,	8,		17,		0,		21,		6,		271,	144,	153,	280,	157,	286,	161,	178,	187,	170,	191,	176,	
128,	103,	130,	117,	126,	111,	18,		137,	20,		7,		16,		1,		154,	273,	156,	287,	152,	281,	188,	163,	190,	177,	186,	171,	
457,	472,	469,	450,	459,	478,	573,	444,	441,	566,	575,	558,	431,	302,	299,	424,	289,	308,	403,	418,	415,	396,	405,	388,	
470,	451,	458,	479,	468,	449,	442,	567,	574,	559,	440,	565,	300,	425,	288,	309,	298,	423,	416,	397,	404,	389,	414,	395,	
473,	456,	471,	448,	477,	460,	445,	572,	443,	564,	557,	432,	303,	430,	301,	422,	307,	290,	419,	402,	417,	394,	387,	406,	
452,	463,	454,	467,	480,	447,	568,	435,	570,	439,	560,	563,	426,	293,	428,	297,	310,	421,	398,	409,	400,	413,	390,	393,	
455,	474,	465,	482,	461,	476,	571,	446,	437,	562,	433,	556,	429,	304,	295,	312,	291,	306,	401,	420,	411,	392,	407,	386,	
464,	453,	462,	475,	466,	481,	436,	569,	434,	555,	438,	561,	294,	427,	292,	305,	296,	311,	410,	399,	408,	385,	412,	391,	
485,	506,	509,	492,	483,	500,	519,	540,	543,	526,	553,	534,	315,	336,	339,	322,	313,	330,	349,	370,	373,	356,	383,	364,	
508,	491,	484,	499,	510,	493,	542,	525,	554,	533,	544,	527,	338,	321,	314,	329,	340,	323,	372,	355,	384,	363,	374,	357,	
505,	486,	507,	494,	501,	518,	539,	520,	541,	528,	535,	552,	335,	316,	337,	324,	331,	348,	369,	350,	371,	358,	365,	382,	
490,	515,	488,	511,	498,	495,	524,	549,	522,	545,	532,	529,	320,	345,	318,	341,	328,	325,	354,	379,	352,	375,	362,	359,	
487,	504,	513,	496,	517,	502,	521,	538,	547,	530,	551,	536,	317,	334,	343,	326,	347,	332,	351,	368,	377,	360,	381,	366,	
514,	489,	516,	503,	512,	497,	548,	523,	550,	537,	546,	531,	344,	319,	346,	333,	342,	327,	378,	353,	380,	367,	376,	361,	
