36,		31,		50,		59,		18,		7,		48,		61,		82,		127,	118,	67,		84,		129,	116,	69,		86,		89,		
51,		58,		35,		30,		49,		60,		9,		6,		119,	66,		83,		128,	117,	68,		85,		88,		115,	70,		
34,		37,		32,		17,		8,		19,		62,		47,		126,	81,		120,	105,	130,	99,		112,	133,	90,		87,		
57,		52,		27,		20,		29,		22,		5,		10,		65,		104,	125,	102,	111,	96,		131,	100,	71,		114,	
38,		33,		56,		23,		16,		11,		46,		63,		80,		121,	106,	95,		98,		101,	134,	113,	132,	91,		
53,		26,		15,		28,		21,		2,		43,		4,		107,	64,		103,	124,	135,	110,	97,		74,		139,	72,		
14,		39,		24,		55,		12,		41,		0,		45,		122,	79,		142,	109,	94,		77,		140,	137,	92,		75,		
25,		54,		13,		40,		1,		44,		3,		42,		143,	108,	123,	78,		141,	136,	93,		76,		73,		138,	
304,	267,	260,	321,	306,	279,	264,	323,	176,	229,	144,	241,	178,	231,	214,	239,	180,	183,	
259,	320,	305,	282,	265,	322,	307,	278,	243,	146,	177,	230,	213,	240,	179,	182,	163,	238,	
268,	303,	266,	261,	280,	283,	244,	263,	228,	175,	242,	145,	232,	201,	210,	215,	184,	181,	
319,	258,	281,	284,	291,	262,	277,	308,	147,	150,	227,	202,	217,	212,	233,	162,	237,	164,	
302,	269,	256,	275,	288,	251,	292,	245,	174,	205,	148,	219,	200,	209,	216,	211,	234,	185,	
257,	318,	287,	290,	285,	276,	309,	250,	149,	226,	151,	206,	203,	218,	161,	156,	165,	236,	
270,	301,	274,	255,	252,	289,	246,	293,	152,	173,	204,	199,	220,	155,	208,	235,	186,	167,	
317,	298,	253,	286,	273,	312,	249,	310,	225,	198,	223,	154,	207,	160,	157,	166,	189,	192,	
300,	271,	296,	315,	254,	247,	294,	313,	172,	153,	196,	159,	170,	221,	194,	191,	168,	187,	
297,	316,	299,	272,	295,	314,	311,	248,	197,	224,	171,	222,	195,	158,	169,	188,	193,	190,	
