0,		47,		32,		35,		98,		45,		62,		37,		96,		93,		
33,		30,		99,		46,		63,		36,		97,		94,		13,		38,		
48,		1,		34,		31,		44,		75,		66,		61,		92,		95,		
29,		26,		49,		74,		59,		64,		43,		14,		39,		12,		
2,		71,		28,		57,		76,		67,		60,		65,		42,		91,		
27,		50,		25,		70,		73,		58,		15,		20,		11,		40,		
24,		3,		72,		77,		56,		21,		68,		41,		90,		9,		
51,		78,		53,		22,		69,		16,		19,		10,		87,		84,		
4,		23,		80,		17,		6,		55,		82,		85,		8,		89,		
79,		52,		5,		54,		81,		18,		7,		88,		83,		86,		
