[
[89, 42, 57, 54, 91, 44, 27, 52, 93, 96, 107, 110, 105, 206, 171, 112, 175, 208, 177, 114, 181, 210],
[56, 59, 90, 43, 26, 53, 92, 95, 76, 51, 104, 205, 108, 111, 174, 207, 148, 113, 134, 209, 178, 115],
[41, 88, 55, 58, 45, 14, 23, 28, 97, 94, 109, 106, 203, 170, 147, 172, 131, 176, 145, 180, 211, 182],
[60, 63, 40, 15, 30, 25, 46, 75, 50, 77, 204, 103, 154, 173, 168, 149, 146, 133, 166, 135, 116, 179],
[87, 18, 61, 32, 13, 22, 29, 24, 47, 98, 199, 202, 169, 150, 153, 132, 167, 130, 139, 144, 183, 212],
[62, 39, 64, 19, 16, 31, 74, 69, 78, 49, 102, 157, 200, 155, 126, 129, 152, 143, 136, 165, 140, 117],
[65, 86, 17, 12, 33, 68, 21, 48, 99, 80, 201, 198, 101, 158, 151, 160, 127, 138, 141, 186, 213, 184],
[38, 11, 36, 67, 20, 73, 70, 79, 2, 5, 100, 195, 156, 125, 128, 191, 142, 161, 164, 137, 118, 187],
[85, 66, 9, 72, 83, 34, 7, 4, 81, 0, 197, 124, 193, 218, 159, 122, 163, 216, 189, 120, 185, 214],
[10, 37, 84, 35, 8, 71, 82, 1, 6, 3, 194, 219, 196, 123, 192, 217, 190, 121, 162, 215, 188, 119],
[453, 456, 451, 476, 481, 458, 479, 460, 483, 366, 357, 342, 345, 220, 355, 336, 241, 226, 229, 248, 239, 256],
[450, 475, 454, 457, 478, 403, 482, 365, 436, 461, 344, 363, 356, 335, 346, 221, 228, 247, 240, 255, 230, 249],
[455, 452, 477, 406, 391, 480, 459, 404, 367, 364, 341, 358, 343, 222, 337, 354, 225, 242, 227, 250, 257, 238],
[474, 449, 390, 387, 410, 405, 402, 435, 462, 437, 362, 351, 360, 347, 334, 223, 246, 235, 244, 231, 254, 251],
[389, 386, 413, 392, 407, 434, 409, 432, 401, 368, 359, 340, 349, 332, 353, 338, 243, 224, 233, 252, 237, 258],
[448, 473, 388, 411, 428, 431, 400, 369, 438, 463, 350, 361, 352, 339, 348, 333, 234, 245, 236, 259, 232, 253],
[385, 412, 429, 414, 393, 408, 433, 418, 397, 370, 329, 308, 305, 322, 331, 314, 295, 274, 271, 288, 261, 280],
[472, 447, 384, 427, 430, 417, 422, 399, 464, 439, 306, 323, 330, 315, 304, 321, 272, 289, 260, 281, 270, 287],
[383, 426, 415, 394, 421, 424, 419, 396, 371, 398, 309, 328, 307, 320, 313, 296, 275, 294, 273, 286, 279, 262],
[446, 471, 380, 425, 416, 395, 374, 423, 440, 465, 324, 299, 326, 303, 316, 319, 290, 265, 292, 269, 282, 285],
[379, 382, 469, 444, 377, 420, 467, 442, 375, 372, 327, 310, 301, 318, 297, 312, 293, 276, 267, 284, 263, 278],
[470, 445, 378, 381, 468, 443, 376, 373, 466, 441, 300, 325, 298, 311, 302, 317, 266, 291, 264, 277, 268, 283],
],
