123,	108,	111,	130,	121,	102,	57,		66,		87,		96,		77,		70,		85,		94,		239,	254,	251,	232,	241,	260,	305,	296,	275,	266,	285,	292,	277,	268,	
110,	129,	122,	101,	112,	131,	88,		97,		58,		67,		86,		95,		78,		69,		252,	233,	240,	261,	250,	231,	274,	265,	304,	295,	276,	267,	284,	293,	
107,	124,	109,	132,	103,	120,	65,		56,		89,		76,		71,		68,		93,		84,		255,	238,	253,	230,	259,	242,	297,	306,	273,	286,	291,	294,	269,	278,	
128,	117,	126,	113,	100,	133,	98,		59,		52,		55,		62,		81,		74,		79,		234,	245,	236,	249,	262,	229,	264,	303,	310,	307,	300,	281,	288,	283,	
125,	106,	115,	134,	119,	104,	53,		64,		61,		90,		75,		72,		83,		92,		237,	256,	247,	228,	243,	258,	309,	298,	301,	272,	287,	290,	279,	270,	
116,	127,	118,	105,	114,	99,		60,		51,		54,		63,		82,		91,		80,		73,		246,	235,	244,	257,	248,	263,	302,	311,	308,	299,	280,	271,	282,	289,	
179,	148,	171,	138,	135,	176,	9,		14,		191,	50,		27,		38,		193,	48,		379,	214,	387,	224,	227,	382,	353,	348,	367,	312,	335,	324,	365,	314,	
170,	139,	180,	177,	172,	137,	190,	183,	10,		15,		192,	49,		36,		39,		388,	223,	378,	381,	386,	225,	368,	375,	352,	347,	366,	313,	326,	323,	
149,	178,	147,	136,	175,	182,	11,		8,		13,		28,		37,		26,		47,		194,	213,	380,	215,	226,	383,	376,	351,	354,	349,	334,	325,	336,	315,	364,	
140,	169,	160,	181,	146,	173,	184,	189,	18,		25,		16,		23,		40,		35,		222,	389,	202,	377,	216,	385,	374,	369,	344,	337,	346,	339,	322,	327,	
159,	150,	165,	174,	161,	154,	7,		12,		185,	22,		29,		34,		195,	46,		203,	212,	197,	384,	201,	208,	355,	350,	373,	340,	333,	328,	363,	316,	
166,	141,	168,	155,	164,	145,	188,	19,		30,		17,		24,		43,		2,		41,		196,	221,	390,	207,	198,	217,	370,	343,	332,	345,	338,	319,	360,	321,	
151,	158,	143,	162,	153,	156,	31,		6,		21,		186,	33,		4,		45,		0,		211,	204,	219,	200,	209,	206,	331,	356,	341,	372,	329,	358,	317,	362,	
142,	167,	152,	157,	144,	163,	20,		187,	32,		5,		44,		1,		42,		3,		220,	391,	210,	205,	218,	199,	342,	371,	330,	357,	318,	361,	320,	359,	
745,	760,	757,	738,	747,	766,	615,	606,	781,	772,	595,	602,	783,	774,	581,	566,	569,	392,	579,	560,	515,	524,	545,	554,	535,	528,	543,	552,	
758,	739,	746,	767,	756,	737,	780,	771,	614,	605,	782,	773,	594,	603,	568,	587,	580,	559,	570,	393,	546,	555,	516,	525,	544,	553,	536,	527,	
761,	744,	759,	736,	765,	748,	607,	616,	779,	596,	601,	604,	775,	588,	565,	582,	567,	394,	561,	578,	523,	514,	547,	534,	529,	526,	551,	542,	
740,	751,	742,	755,	768,	735,	770,	613,	620,	617,	610,	591,	598,	593,	586,	575,	584,	571,	558,	395,	556,	517,	510,	513,	520,	539,	532,	537,	
743,	762,	753,	734,	749,	764,	619,	608,	611,	778,	597,	600,	589,	776,	583,	564,	573,	396,	577,	562,	511,	522,	519,	548,	533,	530,	541,	550,	
752,	741,	750,	763,	754,	769,	612,	621,	618,	609,	590,	777,	592,	599,	574,	585,	576,	563,	572,	557,	518,	509,	512,	521,	540,	549,	538,	531,	
689,	720,	697,	730,	733,	692,	663,	658,	677,	622,	645,	634,	675,	624,	441,	410,	433,	400,	397,	438,	467,	472,	453,	508,	485,	496,	455,	506,	
698,	729,	688,	691,	696,	731,	678,	685,	662,	657,	676,	623,	636,	633,	432,	401,	442,	439,	434,	399,	452,	445,	468,	473,	454,	507,	494,	497,	
719,	690,	721,	732,	693,	686,	661,	664,	659,	644,	635,	646,	625,	674,	411,	440,	409,	398,	437,	444,	469,	466,	471,	486,	495,	484,	505,	456,	
728,	699,	708,	687,	722,	695,	684,	679,	654,	647,	656,	649,	632,	637,	402,	431,	422,	443,	408,	435,	446,	451,	476,	483,	474,	481,	498,	493,	
709,	718,	703,	694,	707,	714,	665,	660,	683,	650,	643,	638,	673,	626,	421,	412,	427,	436,	423,	416,	465,	470,	447,	480,	487,	492,	457,	504,	
702,	727,	700,	713,	704,	723,	680,	653,	642,	655,	648,	629,	670,	631,	428,	403,	430,	417,	426,	407,	450,	477,	488,	475,	482,	501,	460,	499,	
717,	710,	725,	706,	715,	712,	641,	666,	651,	682,	639,	668,	627,	672,	413,	420,	405,	424,	415,	418,	489,	464,	479,	448,	491,	462,	503,	458,	
726,	701,	716,	711,	724,	705,	652,	681,	640,	667,	628,	671,	630,	669,	404,	429,	414,	419,	406,	425,	478,	449,	490,	463,	502,	459,	500,	461,	
